Date,cumulative_return
2021-02-17,1.774286454504797
2021-02-18,1.7639146945059292
2021-02-19,1.7743292558327761
2021-02-22,1.704124757992966
2021-02-23,1.6788257762204875
2021-02-24,1.721372525325177
2021-02-25,1.5843713163937143
2021-02-26,1.6272967289867784
2021-03-01,1.649809257216771
2021-03-02,1.598555844937188
2021-03-03,1.527382572508932
2021-03-04,1.4765833232151688
2021-03-05,1.4850301057677768
2021-03-08,1.3841318032347316
2021-03-09,1.498569068094361
2021-03-10,1.4919450770828677
2021-03-11,1.552547952642236
2021-03-12,1.5372957191239944
2021-03-15,1.5763442575057318
2021-03-16,1.5855952655216963
2021-03-17,1.592746243162117
2021-03-18,1.5183472796122643
2021-03-19,1.5322774510642507
2021-03-22,1.572769028676891
2021-03-23,1.5584818210022404
2021-03-24,1.5073246882127798
2021-03-25,1.4977201851058912
2021-03-26,1.5287846482937408
2021-03-29,1.5401167894410421
2021-03-30,1.532843375807824
2021-03-31,1.589354356959589
2021-04-01,1.6392085362820559
2021-04-05,1.6634292936488464
2021-04-06,1.6496210544651402
2021-04-07,1.6791975236216108
2021-04-08,1.701543758176778
2021-04-09,1.711314437516093
2021-04-12,1.8002072726196114
2021-04-13,1.859038512221625
2021-04-14,1.811345897461388
2021-04-15,1.9065142538879123
2021-04-16,1.8816277293786532
2021-04-19,1.8204454556062746
2021-04-20,1.7991755383259274
2021-04-21,1.8223770797069925
2021-04-22,1.763905054981438
2021-04-23,1.8118624795555427
2021-04-26,1.8356639793322294
2021-04-27,1.8214385982347936
2021-04-28,1.8090699480997803
2021-04-29,1.811569130295821
2021-04-30,1.780130410583308
2021-05-03,1.7601597594605667
2021-05-04,1.7029445483521934
2021-05-05,1.7147418155720457
2021-05-06,1.721615868184976
2021-05-07,1.754116183843549
2021-05-10,1.6892300906457633
2021-05-11,1.6916757613224944
2021-05-12,1.627449772462884
2021-05-13,1.617323145398228
2021-05-14,1.682321443735982
2021-05-17,1.672580548741221
2021-05-18,1.6556127407217678
2021-05-19,1.6592930338623462
2021-05-20,1.7216898111336747
2021-05-21,1.760487953134868
2021-05-24,1.8309516677832247
2021-05-25,1.8348695619417115
2021-05-26,1.8418556019186632
2021-05-27,1.8195985247443367
2021-05-28,1.8986782368332211
2021-06-01,1.9003950357673727
2021-06-02,1.9541319751224044
2021-06-03,1.9690500590119608
2021-06-04,2.038861101345578
2021-06-07,2.043889144842711
2021-06-08,2.0274941687075274
2021-06-09,2.0166194867583624
2021-06-10,2.0246606535348604
2021-06-11,2.0679507346186603
2021-06-14,2.091632129269888
2021-06-15,2.064253783500277
2021-06-16,2.0675093021474957
2021-06-17,2.1602098904968834
2021-06-18,2.1578899959858338
2021-06-21,2.1369876835281687
2021-06-22,2.187313480294204
2021-06-23,2.209430883043976
2021-06-24,2.228021199910239
2021-06-25,2.207758455396391
2021-06-28,2.3126890494482426
2021-06-29,2.3172385032479523
2021-06-30,2.3144904997646623
2021-07-01,2.3366459493714156
2021-07-02,2.3685934089103764
2021-07-06,2.389887288600911
2021-07-07,2.355322863925694
2021-07-08,2.305887727470797
2021-07-09,2.323814779258877
2021-07-12,2.3757589894585522
2021-07-13,2.3470183264810727
2021-07-14,2.304610589745267
2021-07-15,2.211710391469416
2021-07-16,2.1233119224280412
2021-07-19,2.18662835352039
2021-07-20,2.173377746658048
2021-07-21,2.2571951009861304
2021-07-22,2.276565391282263
2021-07-23,2.2739979479929175
2021-07-26,2.2476969498125015
2021-07-27,2.23580801288197
2021-07-28,2.2654278409054838
2021-07-29,2.2869637409377357
2021-07-30,2.271478899887615
2021-08-02,2.3005722324861386
2021-08-03,2.3094930669771636
2021-08-04,2.3570428937902443
2021-08-05,2.3967731818141838
2021-08-06,2.3654601640129997
2021-08-09,2.3599270374847
2021-08-10,2.320943507923825
2021-08-11,2.2954547430550165
2021-08-12,2.321971985943411
2021-08-13,2.351239167414267
2021-08-16,2.3235197397849827
2021-08-17,2.2681731495080832
2021-08-18,2.223695048356459
2021-08-19,2.3028358663735053
2021-08-20,2.4129170412161707
2021-08-23,2.53800599069201
2021-08-24,2.5203448311402825
2021-08-25,2.5638529383754927
2021-08-26,2.54702237312523
2021-08-27,2.609346022818784
2021-08-30,2.6213347261840996
2021-08-31,2.589314621571075
2021-09-01,2.5949534660828064
2021-09-02,2.5915044164117287
2021-09-03,2.6385644975623963
2021-09-07,2.624404995668186
2021-09-08,2.5894400174113135
2021-09-09,2.57179859808826
2021-09-10,2.596665608312248
2021-09-13,2.5633991667311697
2021-09-14,2.5718194709177595
2021-09-15,2.5846618333584606
2021-09-16,2.574070299958028
2021-09-17,2.53615294290488
2021-09-20,2.446332671849228
2021-09-21,2.462717389040688
2021-09-22,2.5392502178187764
2021-09-23,2.597234996358047
2021-09-24,2.557997347610305
2021-09-27,2.5144767344818373
2021-09-28,2.4082743547608203
